IncidentSize,FireCause,InitialLatitude,InitialLongitude,Month
-4.605170185988091,0,35.781017,-120.832136,6
-4.605170185988091,0,37.671133,-122.402867,6
-4.605170185988091,0,40.343483,-120.605133,5
-4.605170185988091,0,33.079739,-117.18852,6
-4.605170185988091,0,33.90445,-117.600248,9
-4.605170185988091,0,34.087732,-116.519863,10
-4.605170185988091,1,34.2751,-118.2999,7
-4.605170185988091,0,38.692062,-120.733634,9
-4.605170185988091,0,39.532251,-121.568783,6
-4.605170185988091,0,38.485193,-122.857319,6
-4.605170185988091,0,40.642654,-122.36549,8
-4.605170185988091,0,38.36838,-120.7942,6
-4.605170185988091,0,37.050882,-121.980412,8
-4.605170185988091,0,36.468665,-121.460759,6
-4.605170185988091,0,34.206394,-117.385139,10
-4.605170185988091,0,40.3004,-122.098,6
-4.605170185988091,0,33.300451,-117.217584,9
-4.605170185988091,0,38.409984,-120.555991,5
-4.605170185988091,0,37.021282,-121.616298,7
-4.605170185988091,0,38.442301,-122.98913,5
-4.605170185988091,0,40.319033,-121.75245,9
-4.605170185988091,0,40.54612,-122.3147,8
-4.605170185988091,0,36.676707,-121.399142,1
-4.605170185988091,0,40.768687,-120.726078,3
-4.605170185988091,0,33.074498,-116.558962,5
-4.605170185988091,0,34.812972,-116.663042,5
-4.605170185988091,0,39.018215,-122.143172,10
-4.605170185988091,0,37.270533,-121.740533,6
-4.605170185988091,0,33.960569,-117.309941,10
-4.605170185988091,0,36.715209,-119.33918,5
-4.605170185988091,0,37.243667,-122.2555,4
-4.605170185988091,0,36.842105,-121.688264,7
-4.605170185988091,0,33.848591,-117.511649,7
-4.605170185988091,0,36.623659,-118.983499,8
-4.605170185988091,0,37.712776,-121.540493,8
-4.605170185988091,0,37.794762,-121.577246,6
-4.605170185988091,0,33.82078,-117.296216,9
-4.605170185988091,0,40.61639,-122.3922,6
-4.605170185988091,0,38.02285,-121.979033,5
-4.605170185988091,0,37.856337,-120.879216,7
-4.605170185988091,0,34.195003,-117.372582,4
-4.605170185988091,0,33.170889,-117.099456,6
-4.605170185988091,0,37.166967,-122.360867,1
-4.605170185988091,0,37.597813,-121.946867,9
-4.605170185988091,0,33.704363,-117.186848,11
-4.605170185988091,0,39.826302,-123.276179,6
-4.605170185988091,0,37.740555,-121.585729,10
-4.605170185988091,0,38.693619,-120.767409,6
-4.605170185988091,0,41.11488,-120.292952,5
-4.605170185988091,0,37.877183,-121.7108,5
-4.605170185988091,0,36.69267,-119.727188,9
-4.605170185988091,0,41.785284,-121.869363,8
-4.605170185988091,0,38.486929,-123.022797,5
-4.605170185988091,0,38.67872,-121.05837,6
-4.605170185988091,0,40.87434,-121.654899,6
-4.605170185988091,0,34.312409,-117.346294,6
-4.605170185988091,0,38.835897,-121.349371,6
-4.605170185988091,0,36.284897,-118.781167,5
-4.605170185988091,0,33.947689,-116.68796,6
-4.605170185988091,0,41.02768,-123.6522,8
-4.605170185988091,0,32.978516,-116.973352,6
-4.605170185988091,0,41.703782,-122.641158,8
-4.605170185988091,0,36.787702,-121.316613,5
-4.605170185988091,0,33.25014,-117.061854,4
-4.605170185988091,0,33.915818,-117.088778,7
-4.605170185988091,0,36.722376,-119.168101,11
-4.605170185988091,0,35.09556,-120.0509,4
-4.605170185988091,0,40.42241,-120.651173,11
-4.605170185988091,0,39.149973,-120.898278,7
-4.605170185988091,0,37.287925,-120.322672,5
-4.605170185988091,0,39.238424,-121.033919,7
-4.605170185988091,0,33.603758,-117.27284,4
-4.605170185988091,0,39.120458,-122.291301,7
-4.605170185988091,0,37.426679,-120.765801,9
-4.605170185988091,0,37.34938,-120.558715,4
-4.605170185988091,0,33.979664,-116.504154,4
-4.605170185988091,0,36.98168,-120.036169,7
-4.605170185988091,0,33.753463,-117.287181,7
-4.605170185988091,0,39.103839,-121.130716,8
-4.605170185988091,0,40.170359,-122.234129,7
-4.605170185988091,0,37.246169,-121.08645,6
-4.605170185988091,0,40.426533,-123.766583,4
-4.605170185988091,0,33.787376,-116.982495,7
-4.605170185988091,0,35.870793,-118.642887,9
-4.605170185988091,0,38.824782,-123.010899,6
-4.605170185988091,0,33.924157,-116.872871,11
-4.605170185988091,0,33.896543,-117.589747,11
-4.605170185988091,0,33.82646,-117.17928,6
-4.605170185988091,0,36.589792,-119.469043,8
-4.605170185988091,0,37.363292,-120.432206,4
-4.605170185988091,0,37.891505,-120.364459,6
-4.605170185988091,0,33.685136,-117.149556,6
-4.605170185988091,0,37.280338,-120.596924,7
-4.605170185988091,0,37.418362,-120.603656,5
-4.605170185988091,0,33.478609,-117.173886,8
-4.605170185988091,0,33.934707,-116.689588,6
-4.605170185988091,0,37.158968,-122.077233,4
-4.605170185988091,0,33.647707,-117.112565,9
-4.605170185988091,0,37.08348,-120.283618,4
-4.605170185988091,0,33.574702,-116.744904,7
-4.605170185988091,0,38.216933,-120.927083,6
-4.605170185988091,0,36.68671,-120.657898,8
